dates,RPLprofits,RPLlosses,prices
2009-01-03,,,0.0
2009-01-09,,,0.0
2009-01-10,,,0.0
2009-01-11,,,0.0
2009-01-12,,,0.0
2009-01-13,,,0.0
2009-01-14,,,0.0
2009-01-15,,,0.0
2009-01-16,,,0.0
2009-01-17,,,0.0
2009-01-18,,,0.0
2009-01-19,,,0.0
2009-01-20,,,0.0
2009-01-21,,,0.0
2009-01-22,,,0.0
2009-01-23,,,0.0
2009-01-24,,,0.0
2009-01-25,,,0.0
2009-01-26,,,0.0
2009-01-27,0.0,0.0,0.0
2009-01-28,0.0,0.0,0.0
2009-01-29,0.0,0.0,0.0
2009-01-30,0.0,0.0,0.0
2009-01-31,0.0,0.0,0.0
2009-02-01,0.0,0.0,0.0
2009-02-02,0.0,0.0,0.0
2009-02-03,0.0,0.0,0.0
2009-02-04,0.0,0.0,0.0
2009-02-05,0.0,0.0,0.0
2009-02-06,0.0,0.0,0.0
2009-02-07,0.0,0.0,0.0
2009-02-08,0.0,0.0,0.0
2009-02-09,0.0,0.0,0.0
2009-02-10,0.0,0.0,0.0
2009-02-11,0.0,0.0,0.0
2009-02-12,0.0,0.0,0.0
2009-02-13,0.0,0.0,0.0
2009-02-14,0.0,0.0,0.0
2009-02-15,0.0,0.0,0.0
2009-02-16,0.0,0.0,0.0
2009-02-17,0.0,0.0,0.0
2009-02-18,0.0,0.0,0.0
2009-02-19,0.0,0.0,0.0
2009-02-20,0.0,0.0,0.0
2009-02-21,0.0,0.0,0.0
2009-02-22,0.0,0.0,0.0
2009-02-23,0.0,0.0,0.0
2009-02-24,0.0,0.0,0.0
2009-02-25,0.0,0.0,0.0
2009-02-26,0.0,0.0,0.0
2009-02-27,0.0,0.0,0.0
2009-02-28,0.0,0.0,0.0
2009-03-01,0.0,0.0,0.0
2009-03-02,0.0,0.0,0.0
2009-03-03,0.0,0.0,0.0
2009-03-04,0.0,0.0,0.0
2009-03-05,0.0,0.0,0.0
2009-03-06,0.0,0.0,0.0
2009-03-07,0.0,0.0,0.0
2009-03-08,0.0,0.0,0.0
2009-03-09,0.0,0.0,0.0
2009-03-10,0.0,0.0,0.0
2009-03-11,0.0,0.0,0.0
2009-03-12,0.0,0.0,0.0
2009-03-13,0.0,0.0,0.0
2009-03-14,0.0,0.0,0.0
2009-03-15,0.0,0.0,0.0
2009-03-16,0.0,0.0,0.0
2009-03-17,0.0,0.0,0.0
2009-03-18,0.0,0.0,0.0
2009-03-19,0.0,0.0,0.0
2009-03-20,0.0,0.0,0.0
2009-03-21,0.0,0.0,0.0
2009-03-22,0.0,0.0,0.0
2009-03-23,0.0,0.0,0.0
2009-03-24,0.0,0.0,0.0
2009-03-25,0.0,0.0,0.0
2009-03-26,0.0,0.0,0.0
2009-03-27,0.0,0.0,0.0
2009-03-28,0.0,0.0,0.0
2009-03-29,0.0,0.0,0.0
2009-03-30,0.0,0.0,0.0
2009-03-31,0.0,0.0,0.0
2009-04-01,0.0,0.0,0.0
2009-04-02,0.0,0.0,0.0
2009-04-03,0.0,0.0,0.0
2009-04-04,0.0,0.0,0.0
2009-04-05,0.0,0.0,0.0
2009-04-06,0.0,0.0,0.0
2009-04-07,0.0,0.0,0.0
2009-04-08,0.0,0.0,0.0
2009-04-09,0.0,0.0,0.0
2009-04-10,0.0,0.0,0.0
2009-04-11,0.0,0.0,0.0
2009-04-12,0.0,0.0,0.0
2009-04-13,0.0,0.0,0.0
2009-04-14,0.0,0.0,0.0
2009-04-15,0.0,0.0,0.0
2009-04-16,0.0,0.0,0.0
2009-04-17,0.0,0.0,0.0
2009-04-18,0.0,0.0,0.0
2009-04-19,0.0,0.0,0.0
2009-04-20,0.0,0.0,0.0
2009-04-21,0.0,0.0,0.0
2009-04-22,0.0,0.0,0.0
2009-04-23,0.0,0.0,0.0
2009-04-24,0.0,0.0,0.0
2009-04-25,0.0,0.0,0.0
2009-04-26,0.0,0.0,0.0
2009-04-27,0.0,0.0,0.0
2009-04-28,0.0,0.0,0.0
2009-04-29,0.0,0.0,0.0
2009-04-30,0.0,0.0,0.0
2009-05-01,0.0,0.0,0.0
2009-05-02,0.0,0.0,0.0
2009-05-03,0.0,0.0,0.0
2009-05-04,0.0,0.0,0.0
2009-05-05,0.0,0.0,0.0
2009-05-06,0.0,0.0,0.0
2009-05-07,0.0,0.0,0.0
2009-05-08,0.0,0.0,0.0
2009-05-09,0.0,0.0,0.0
2009-05-10,0.0,0.0,0.0
2009-05-11,0.0,0.0,0.0
2009-05-12,0.0,0.0,0.0
2009-05-13,0.0,0.0,0.0
2009-05-14,0.0,0.0,0.0
2009-05-15,0.0,0.0,0.0
2009-05-16,0.0,0.0,0.0
2009-05-17,0.0,0.0,0.0
2009-05-18,0.0,0.0,0.0
2009-05-19,0.0,0.0,0.0
2009-05-20,0.0,0.0,0.0
2009-05-21,0.0,0.0,0.0
2009-05-22,0.0,0.0,0.0
2009-05-23,0.0,0.0,0.0
2009-05-24,0.0,0.0,0.0
2009-05-25,0.0,0.0,0.0
2009-05-26,0.0,0.0,0.0
2009-05-27,0.0,0.0,0.0
2009-05-28,0.0,0.0,0.0
2009-05-29,0.0,0.0,0.0
2009-05-30,0.0,0.0,0.0
2009-05-31,0.0,0.0,0.0
2009-06-01,0.0,0.0,0.0
2009-06-02,0.0,0.0,0.0
2009-06-03,0.0,0.0,0.0
